latitude,longitude,chain,tractnum,ntanum
40.7154191889632,-74.0163929450105,Le Pain Quotidien,1579,40
40.74651,-73.98107,Le Pain Quotidien,1293,82
40.7725225043757,-73.9815473556519,Le Pain Quotidien,1072,100
40.7542102108724,-73.9788866043091,Le Pain Quotidien,1005,20
40.721499,-74.001575,Le Pain Quotidien,1379,121
40.7658345482171,-73.9654347284287,Le Pain Quotidien,852,76
40.776961,-73.978498,Le Pain Quotidien,2161,100
40.7797680795193,-73.9595351368189,Le Pain Quotidien,897,76
40.7797680795193,-73.9595351368189,Le Pain Quotidien,897,76
40.7725225043757,-73.9815473556519,Le Pain Quotidien,1072,100
40.732486,-73.996585,Le Pain Quotidien,940,105
40.765318,-73.9573939,Le Pain Quotidien,1354,148
40.7863344,-73.9762146,Le Pain Quotidien,1317,99
40.7720616,-73.9564595,Le Pain Quotidien,999,148
40.7664066,-73.9797212,Le Pain Quotidien,1028,20
40.7542102108724,-73.9788866043091,Le Pain Quotidien,1005,20
40.7879733475342,-73.953396837652,Le Pain Quotidien,2037,77
40.7918,-73.97438,Le Pain Quotidien,1318,99
40.72636,-73.994995,Le Pain Quotidien,1162,105
40.74651,-73.98107,Le Pain Quotidien,1293,82
40.774927,-73.9507894,Le Pain Quotidien,2001,72
40.7524299,-73.97378,Le Pain Quotidien,1006,21
40.760627,-73.981571,Le Pain Quotidien,1027,20
40.7658345482171,-73.9654347284287,Le Pain Quotidien,852,76
40.7720616,-73.9564595,Le Pain Quotidien,999,148
40.765318,-73.9573939,Le Pain Quotidien,1354,148
40.732486,-73.996585,Le Pain Quotidien,940,105
40.776961,-73.978498,Le Pain Quotidien,2161,100
40.7658345482171,-73.9654347284287,Le Pain Quotidien,852,76
40.72636,-73.994995,Le Pain Quotidien,1162,105
40.7918,-73.97438,Le Pain Quotidien,1318,99
40.7658345482171,-73.9654347284287,Le Pain Quotidien,852,76
40.776961,-73.978498,Le Pain Quotidien,2161,100
40.7879733475342,-73.953396837652,Le Pain Quotidien,2037,77
40.774927,-73.9507894,Le Pain Quotidien,2001,72
40.7879733475342,-73.953396837652,Le Pain Quotidien,2037,77
40.732486,-73.996585,Le Pain Quotidien,940,105
40.72636,-73.994995,Le Pain Quotidien,1162,105
40.765318,-73.9573939,Le Pain Quotidien,1354,148
40.776961,-73.978498,Le Pain Quotidien,2161,100
40.7720616,-73.9564595,Le Pain Quotidien,999,148
40.7879733475342,-73.953396837652,Le Pain Quotidien,2037,77
40.7740380548992,-73.9666811772461,Le Pain Quotidien,2160,194
40.70395,-74.01143,Le Pain Quotidien,1369,40
40.70395,-74.01143,Le Pain Quotidien,1369,40
40.760627,-73.981571,Le Pain Quotidien,1027,20
40.721499,-74.001575,Le Pain Quotidien,1379,121
40.7863344,-73.9762146,Le Pain Quotidien,1317,99
40.7863344,-73.9762146,Le Pain Quotidien,1317,99
40.7281200027367,-74.0073239308904,Le Pain Quotidien,1686,121
40.7664066,-73.9797212,Le Pain Quotidien,1028,20
40.7570417595304,-73.963566910455,Le Pain Quotidien,930,21
